epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,21681.4,1.48444,1.09135,1.75112,0.92234,0.89067,0.94513,0.67085,1.13885,0.68401,1.55836,0.00037135,0.00037135,0.00037135
129,21852.3,1.49844,1.08129,1.74014,0.92421,0.88869,0.94486,0.66977,1.13613,0.68287,1.5571,0.0003664,0.0003664,0.0003664
130,22016.1,1.47956,1.07756,1.73289,0.92364,0.88742,0.94497,0.67052,1.13456,0.68219,1.55618,0.00036145,0.00036145,0.00036145
131,22177.9,1.47408,1.07707,1.734,0.92137,0.89036,0.94492,0.67247,1.13392,0.68097,1.55321,0.0003565,0.0003565,0.0003565
132,22341.1,1.49209,1.08753,1.74791,0.92607,0.88825,0.94497,0.67417,1.13395,0.68001,1.5523,0.00035155,0.00035155,0.00035155
133,22505.7,1.47553,1.07485,1.73388,0.92458,0.89175,0.94428,0.67309,1.13301,0.68053,1.54959,0.0003466,0.0003466,0.0003466
134,22671.4,1.47583,1.0859,1.74507,0.92783,0.8866,0.94443,0.67414,1.13326,0.67895,1.54875,0.00034165,0.00034165,0.00034165
135,22835.9,1.48314,1.08193,1.74098,0.92342,0.88733,0.94481,0.67434,1.13215,0.67727,1.54962,0.0003367,0.0003367,0.0003367
136,23000,1.48258,1.0851,1.74053,0.91761,0.89319,0.94498,0.6752,1.12802,0.67581,1.54821,0.00033175,0.00033175,0.00033175
137,23168.1,1.45227,1.0642,1.72775,0.92343,0.89206,0.94572,0.67819,1.12469,0.67352,1.54744,0.0003268,0.0003268,0.0003268
138,23334.4,1.46677,1.06499,1.72453,0.92312,0.89129,0.94547,0.67819,1.12178,0.66894,1.54372,0.00032185,0.00032185,0.00032185
139,23503.8,1.47492,1.07007,1.73876,0.92849,0.88731,0.94604,0.67982,1.12034,0.66631,1.54153,0.0003169,0.0003169,0.0003169
140,23672.7,1.46696,1.06917,1.73649,0.92951,0.88866,0.94547,0.67735,1.12028,0.66551,1.54063,0.00031195,0.00031195,0.00031195
141,23839.5,1.45685,1.06498,1.72956,0.93108,0.88781,0.94587,0.67941,1.12041,0.66452,1.53976,0.000307,0.000307,0.000307
142,23999.6,1.46987,1.05792,1.71752,0.93508,0.88401,0.94531,0.6798,1.11995,0.66191,1.5373,0.00030205,0.00030205,0.00030205
143,24168.9,1.46675,1.05426,1.72452,0.93737,0.88429,0.9459,0.68064,1.11869,0.66139,1.53538,0.0002971,0.0002971,0.0002971
144,24328.5,1.45119,1.05618,1.72576,0.9375,0.88529,0.9459,0.68051,1.11612,0.66126,1.53351,0.00029215,0.00029215,0.00029215
145,24491.9,1.45739,1.06268,1.72514,0.93714,0.88569,0.94573,0.68023,1.11484,0.66029,1.53279,0.0002872,0.0002872,0.0002872
146,24655,1.46572,1.06206,1.721,0.93592,0.88907,0.94608,0.68133,1.11247,0.66042,1.5313,0.00028225,0.00028225,0.00028225
147,24818.8,1.46862,1.07253,1.73879,0.93413,0.89056,0.94712,0.68169,1.11086,0.65872,1.53089,0.0002773,0.0002773,0.0002773
148,24980.8,1.47202,1.06585,1.72189,0.93608,0.89064,0.94664,0.68225,1.11022,0.65815,1.53019,0.00027235,0.00027235,0.00027235
149,25141.7,1.45373,1.06173,1.72312,0.93306,0.89296,0.94672,0.68267,1.10839,0.65852,1.52854,0.0002674,0.0002674,0.0002674
150,25300.5,1.45862,1.06239,1.72041,0.93179,0.89255,0.94722,0.68378,1.10792,0.65783,1.52794,0.00026245,0.00026245,0.00026245
151,25468.3,1.45235,1.047,1.71114,0.93309,0.8917,0.94801,0.68359,1.10804,0.65758,1.52677,0.0002575,0.0002575,0.0002575
152,25637.9,1.43928,1.04725,1.71459,0.93344,0.8918,0.94819,0.68366,1.10797,0.65839,1.5271,0.00025255,0.00025255,0.00025255
153,25808.3,1.45169,1.05602,1.72205,0.93649,0.89032,0.94814,0.68375,1.10758,0.65752,1.52663,0.0002476,0.0002476,0.0002476
154,25976.4,1.44673,1.05277,1.71124,0.9346,0.89351,0.94828,0.68426,1.10602,0.65598,1.52495,0.00024265,0.00024265,0.00024265
155,26141.2,1.43994,1.03625,1.70558,0.93295,0.89384,0.94844,0.68534,1.10464,0.65564,1.52445,0.0002377,0.0002377,0.0002377
156,26307.7,1.43726,1.04243,1.70203,0.93514,0.89276,0.9488,0.68653,1.10318,0.654,1.52367,0.00023275,0.00023275,0.00023275
157,26476.8,1.43414,1.04339,1.70661,0.93498,0.89257,0.9489,0.68707,1.10124,0.65339,1.52269,0.0002278,0.0002278,0.0002278
158,26641.5,1.44887,1.04784,1.71835,0.93545,0.8932,0.94927,0.6877,1.10051,0.65339,1.52206,0.00022285,0.00022285,0.00022285
159,26805.3,1.44516,1.04911,1.71402,0.93734,0.89237,0.94924,0.68873,1.09892,0.65246,1.52027,0.0002179,0.0002179,0.0002179
160,26969.2,1.43208,1.04014,1.71064,0.93524,0.89393,0.94984,0.6899,1.09646,0.65157,1.51813,0.00021295,0.00021295,0.00021295
161,27131.7,1.44854,1.0457,1.71552,0.93646,0.89458,0.9501,0.69076,1.09497,0.65062,1.51665,0.000208,0.000208,0.000208
162,27299.5,1.45866,1.05684,1.72667,0.93276,0.89788,0.95001,0.69198,1.09432,0.65022,1.51604,0.00020305,0.00020305,0.00020305
163,27468.1,1.44041,1.03934,1.7112,0.93378,0.89684,0.95008,0.69242,1.09387,0.6501,1.51536,0.0001981,0.0001981,0.0001981
164,27634.8,1.43975,1.04703,1.71818,0.93176,0.89726,0.94924,0.69125,1.09321,0.65002,1.51458,0.00019315,0.00019315,0.00019315
165,27797.8,1.42027,1.03214,1.70573,0.9299,0.89767,0.94996,0.69275,1.092,0.64867,1.51295,0.0001882,0.0001882,0.0001882
166,27962.7,1.4246,1.03913,1.70592,0.92966,0.8983,0.94998,0.69303,1.09066,0.6478,1.51223,0.00018325,0.00018325,0.00018325
167,28126.8,1.45308,1.06001,1.72703,0.92832,0.8983,0.94954,0.69361,1.0898,0.64734,1.51153,0.0001783,0.0001783,0.0001783
168,28304.7,1.43057,1.02907,1.70062,0.92787,0.89831,0.94961,0.69333,1.08965,0.64728,1.51132,0.00017335,0.00017335,0.00017335
169,28462.2,1.42943,1.03812,1.70547,0.93091,0.89705,0.95029,0.69339,1.08883,0.64634,1.51014,0.0001684,0.0001684,0.0001684
170,28637.9,1.42937,1.03117,1.69903,0.92914,0.89694,0.9503,0.69304,1.08799,0.64523,1.50928,0.00016345,0.00016345,0.00016345
171,28816.8,1.41574,1.02527,1.69294,0.93081,0.89654,0.95048,0.69377,1.08696,0.64477,1.50834,0.0001585,0.0001585,0.0001585
172,28983.2,1.41795,1.03181,1.69545,0.93735,0.88988,0.95055,0.6944,1.08683,0.64413,1.50767,0.00015355,0.00015355,0.00015355
173,29147.3,1.43978,1.03611,1.70586,0.93123,0.89464,0.95031,0.69427,1.08653,0.64351,1.50718,0.0001486,0.0001486,0.0001486
174,29311.3,1.41069,1.01598,1.68599,0.93077,0.89518,0.95042,0.69333,1.08631,0.64256,1.50664,0.00014365,0.00014365,0.00014365
175,29479.5,1.41045,1.02016,1.69563,0.93124,0.89414,0.95035,0.69353,1.0856,0.64124,1.50608,0.0001387,0.0001387,0.0001387
176,29651,1.41036,1.01714,1.69313,0.93143,0.89414,0.94994,0.69323,1.0848,0.64079,1.50537,0.00013375,0.00013375,0.00013375
177,29812.7,1.40445,1.0143,1.67851,0.92978,0.89459,0.95009,0.6945,1.0837,0.64041,1.50426,0.0001288,0.0001288,0.0001288
178,29974.5,1.40362,1.01881,1.68879,0.93109,0.89384,0.95,0.69453,1.08338,0.64008,1.50405,0.00012385,0.00012385,0.00012385
179,30135.9,1.41493,1.01696,1.68575,0.93195,0.89473,0.95027,0.69331,1.08208,0.63918,1.50325,0.0001189,0.0001189,0.0001189
180,30298.9,1.38683,1.00181,1.67128,0.93026,0.89539,0.95009,0.69443,1.08165,0.6383,1.50273,0.00011395,0.00011395,0.00011395
181,30463.1,1.40473,1.01379,1.68346,0.93037,0.89556,0.95029,0.69427,1.08064,0.63812,1.50194,0.000109,0.000109,0.000109
182,30640.5,1.4037,1.01169,1.68072,0.92987,0.89581,0.95042,0.69427,1.07979,0.63847,1.50079,0.00010405,0.00010405,0.00010405
